The	Các
Such	Như là
Again	Lần nữa
Few	Vài
Case	Trường hợp
Most	Phần lớn
Week	Tuần
Company	Công ty
Where	Ở đâu
System	Hệ thống
Each	Mỗi
Right	đúng
Program	Chương trình
Hear	Nghe
So	Vì thế
Question	Câu hỏi
During	Suốt trong
Work	Công việc
Play	Chơi
Government	Chính quyền
Run	Chạy
Small	Nhỏ bé
Number	Con số
Off	Tắt
Always	Luôn luôn
Move	Di chuyển
Like	Như
Night	đêm
Live	Trực tiếp
Mr	Ông
Point	điểm
Believe	Tin
Hold	Giữ
Today	Hôm nay
Bring	Mang đến
Happen	Xảy ra
Next	Kế tiếp
Without	Không có
Before	Trước
Large	Lớn
All	Tất cả các
Million	Triệu
Must	Phải
Home	Nhà
Under	Dưới
Water	Nước
Room	Phòng
Write	Viết
Mother	Mẹ
Area	Khu vực
National	Quốc gia
Money	Tiền bạc
Story	Câu chuyện
Young	Trẻ
Fact	Thực tế
Month	Tháng
Different	Khác nhau
Lot	Nhiều
Right	đúng
Study	Học
Book	Sách
Eye	Mắt
Job	Việc làm
Word	Từ
Though	Tuy nhiên
Business	Kinh doanh
Issue	Vấn đề
Side	Bên
Kind	Loại
Four	Bốn
Head	Cái đầu
Far	Xa
Black	đen
Long	Dài
Both	Cả hai
Little	ít
House	Nhà ở
Yes	Vâng
After	Sau
Since	Kể từ
Long	Dài
Provide	Cung cấp
Service	Dịch vụ
Around	Xung quanh
Friend	Người bạn
Important	Quan trọng
Father	Cha
Sit	Ngồi
Away	Xa
Until	Cho đến
Power	Quyền lực
Hour	Giờ
Game	Trò chơi
Often	Thường xuyên
Yet	Chưa
Line	Hàng
Political	Chính trị
End	Kết thúc
Among	Trong số
Ever	Không bao giờ
Stand	đứng
Bad	Xấu
Lose	Thua
However	Tuy nhiên
Member	Hội viên
Pay	Trả
Law	Pháp luật
Meet	Gặp
Car	Xe hơi
City	Thành phố
Almost	Hầu hết
Include	Bao gồm
Continue	Tiếp tục
Set	Bộ
Later	Một lát sau
Community	Cộng đồng
Much	Nhiều
Name	Tên
Five	Số năm
Once	Một lần
White	Trắng
Least	ít nhất
President	Chủ tịch
Learn	Học hỏi
Real	Thực
Change	Thay đổi
Team	đội
Minute	Phút
Best	Tốt
Several	Một số
Idea	ý kiến
Kid	đứa trẻ
Body	Thân hình
Information	Thông tin
Nothing	Không có gì
Ago	Trước
Right	đúng
Lead	Chì
Social	Xã hội
Understand	Hiểu không
Whether	Liệu
Back	Trở lại
Watch	đồng hồ đeo tay
Together	Cùng với nhau
Follow	Theo
Around	Xung quanh
Parent	Cha mẹ
Only	Chỉ có
Stop	Dừng lại
Face	đối mặt
Anything	Bất cứ điều gì
Create	Tạo nên
Public	Công cộng
Already	đã
Speak	Nói
Others	Khác
Read	đọc
Level	Cấp độ
Allow	Cho phép
Add	Thêm vào
Office	Văn phòng
Spend	Tiêu
Door	Cửa
Health	Sức khỏe
Person	Người
Art	Nghệ thuật
Sure	Chắc chắn rồi
Such	Như là
War	Chiến tranh
History	Lịch sử
Party	Buổi tiệc
Within	Bên trong
Grow	Lớn lên
Result	Kết quả
Open	Mở
Change	Thay đổi
Morning	Buổi sáng
Walk	đi bộ
Reason	Lý do
Low	Thấp
Win	Thắng lợi
Research	Nghiên cứu
Girl	Con gái
Guy	Chàng
Early	Sớm
Food	Món ăn
Before	Trước
Moment	Chốc lát
Himself	Bản thân anh ấy
Air	Không khí
Teacher	Giáo viên
Force	Lực lượng
Offer	Phục vụ
Enough	đủ
Both	Cả hai
Education	Giáo dục
Across	Băng qua
Although	Mặc dù
Remember	Nhớ lại
Foot	Chân
Second	Thứ hai
Boy	Con trai
Maybe	Có lẽ
Toward	đối với
Able	Có thể
Age	Tuổi tác
Off	Tắt
Policy	Chính sách
Everything	Mọi điều
Process	Quá trình
Music	Âm nhạc
Including	Kể cả
Consider	Xem xét
Appear	Xuất hiện
Actually	Thực ra
Buy	Mua
Probably	Có lẽ
Human	Nhân loại
Wait	Chờ đợi
Serve	Phục vụ
Market	Thị trường
Die	Chết
Send	Gửi
Expect	Chờ đợi
Home	Nhà
Sense	Giác quan
Build	Xây dựng
Stay	ở lại
Fall	Ngã
Oh	Oh
Nation	Quốc gia
Plan	Kế hoạch
Cut	Cắt tỉa
College	Trường đại học
Interest	Quan tâm
Death	Tử vong
Course	Khóa học
Someone	Người nào
Experience	Kinh nghiệm
Behind	Phía sau
Reach	Chạm tới
Local	địa phương
Kill	Giết chết
Six	Sáu
Remain	Vẫn còn
Effect	Hiệu ứng
Use	Sử dụng
Yeah	Yeah
Suggest	đề nghị
Class	Lớp học
Control	điều khiển
Raise	Nâng cao
Care	Quan tâm
Perhaps	Có lẽ
Little	ít
Late	Muộn
Hard	Cứng
Field	Cánh đồng
Else	Khác
Pass	Vượt qua
Former	Trước đây
Sell	Bán
Major	Chính
Sometimes	đôi khi
Require	Yêu cầu
Along	Dọc theo
Development	Phát triển
Themselves	Bản thân họ
Report	Bài báo cáo
Role	Vai trò
Better	Tốt hơn
Economic	Thuộc kinh tế
Effort	Cố gắng
Up	Lên
Decide	Quyết định
Rate	Tỷ lệ
Strong	Mạnh
Possible	Khả thi
Heart	Tim
Drug	Thuốc uống
Show	Chỉ
Leader	Lãnh đạo
Light	ánh sáng
Voice	Tiếng nói
Wife	Người vợ
Whole	Toàn thể
Police	Cảnh sát
Mind	Lí trí
Finally	Cuối cùng
Pull	Kéo
Return	Trở về
Free	Miễn phí
Military	Quân đội
Price	Giá bán
Report	Bài báo cáo
Less	ít hơn
According	Theo
Decision	Phán quyết
Explain	Giải thích
Son	Con trai
Hope	Mong
Even	Cũng
Develop	Phát triển, xây dựng
View	Lượt xem
Relationship	Mối quan hệ
Carry	Mang
Town	Thị trấn
Road	đường
Drive	Lái xe
Arm	Cánh tay
TRUE	THẬT
Federal	Liên bang
Break	Phá vỡ
Better	Tốt hơn
Difference	Sự khác biệt
Thank	Cảm tạ
Receive	Nhận được
Value	Giá trị
International	Quốc tế
Building	Tòa nhà
Action	Hoạt động
Full	đầy
Model	Mô hình
Join	Tham gia
Season	Mùa
Society	Xã hội
Because	Bởi vì
Tax	Thuế
Director	Giám đốc
Early	Sớm
Position	Chức vụ
Player	Người chơi
Agree	đồng ý
Especially	đặc biệt
Record	Ghi lại
Pick	Chọn
Wear	Mặc
Paper	Giấy
Special	đặc biệt
Space	Không gian
Ground	đất
Form	Hình thức
Support	ủng hộ
Event	Biến cố
Official	Chính thức
Whose	Có
Matter	Vấn đề
Everyone	Tất cả mọi người
Center	Trung tâm
Couple	Vợ chồng
Site	địa điểm
End	Kết thúc
Project	Dự án
Hit	đánh
Base	Căn cứ
Activity	Hoạt động
Star	Ngôi sao
Table	Bàn
Need	Nhu cầu
Court	Tòa án
Produce	Sản xuất
Eat	ăn
American	Người Mỹ
Teach	Dạy
Oil	Dầu
Half	Một nửa
Situation	Tình hình
Easy	Dễ dàng
Cost	Giá cả
Industry	Ngành công nghiệp
Figure	Nhân vật
Face	đối mặt
Street	đường phố
Image	Hình ảnh
Itself	Chinh no
Phone	điện thoại
Either	Hoặc
Data	Dữ liệu
Cover	Che
Quite	Khá
Picture	Hình ảnh
Clear	Trong sáng
Practice	Thực hành
Piece	Cái
Land	đất đai
Recent	Gần đây
Describe	Miêu tả
Product	Sản phẩm
Doctor	Bác sĩ
Wall	Tường
Patient	Bệnh nhân
Worker	Công nhân
News	Tin tức
Test	Thử nghiệm
Movie	Bộ phim
Certain	Chắc chắn
North	Bắc
Love	Yêu
Personal	Cá nhân
Open	Mở
Support	ủng hộ
Simply	đơn giản
Third	Thứ ba
Technology	Công nghệ
Catch	Bắt lấy
Step	Bậc thang
Baby	đứa bé
Computer	Máy vi tính
Type	Kiểu
Attention	Chú ý
Draw	Vẽ tranh
Film	Phim ảnh
Republican	Đảng Cộng hòa
Tree	Cây
Source	Nguồn
Red	đỏ
Nearly	Gần
Organization	Cơ quan
Choose	Chọn
Cause	Nguyên nhân
Hair	Tóc
Look	Nhìn
Point	điểm
Century	Thế kỷ
Evidence	Chứng cớ
Window	Cửa sổ
Difficult	Khó khăn
Listen	Nghe
Soon	Sớm
Culture	Nền văn hóa
Billion	Tỷ
Chance	Cơ hội
Brother	Em trai
Energy	Năng lượng
Period	Giai đoạn
Course	Khóa học
Summer	Mùa hè
Less	ít hơn
Realize	Nhận ra
Hundred	Hàng trăm
Available	Có sẵn
Plant	Thực vật
Likely	Có khả năng
Opportunity	Cơ hội
Term	Kỳ hạn
Short	Ngắn
Letter	Lá thư
Condition	điều kiện
Choice	Lựa chọn
Place	địa điểm
Single	Độc thân
Rule	Qui định
Daughter	Con gái
Administration	Quản trị
South	Miền Nam
Husband	Người chồng
Congress	Hội nghị
Floor	Sàn nhà
Campaign	Chiến dịch
Material	Vật chất
Population	Dân số
Well	Tốt
Call	Gọi
Economy	Nên kinh tê
Medical	Y khoa
Hospital	Bệnh viện
Church	Nhà thờ
Close	Gần
Thousand	Nghìn
Risk	Rủi ro
Current	Hiện hành
Fire	Ngọn lửa
Future	Tương lai
Wrong	Sai rồi
Involve	Liên quan
Defense	Phòng thủ
Anyone	Bất kỳ ai
Increase	Tăng
Security	Bảo vệ
Bank	Ngân hàng
Myself	Riêng tôi
Certainly	Chắc chắn
West	Hướng Tây
Sport	Môn thể thao
Board	Bảng
Seek	Tìm kiếm
Per	Mỗi
Subject	Môn học
Officer	Nhân viên văn phòng
Private	Riêng tư
Rest	Nghỉ ngơi
Behavior	Hành vi
Deal	Thỏa thuận
Performance	Hiệu suất
Fight	Chiến đấu
Throw	Ném
Top	Hàng đầu
Quickly	Mau
Past	Quá khứ
Goal	Mục tiêu
Second	Thứ hai
Bed	Giường
Order	Gọi món
Author	Tác giả
Fill	Lấp đầy
Represent	đại diện
Focus	Tiêu điểm
Foreign	Ngoại quốc
Drop	Rơi vãi
Plan	Kế hoạch
Blood	Máu
Upon	Trên
Agency	đại lý
Push	đẩy
Nature	Thiên nhiên
Color	Màu
No	Không
Recently	Gần đây
Store	Cửa hàng
Reduce	Giảm
Sound	âm thanh
Note	Chú thích
Fine	Khỏe
Before	Trước
Near	ở gần
Movement	Phong trào
Page	Trang
Enter	đi vào
Share	Chia sẻ
Than	Hơn
Common	Chung
Poor	Nghèo nàn
Other	Khác
Natural	Tự nhiên
Race	Cuộc đua
Concern	Mối quan ngại
Series	Loạt
Significant	Có ý nghĩa
Similar	Giống
Hot	Nóng bức
Language	Ngôn ngữ
Each	Mỗi
Usually	Thông thường
Response	Phản ứng
Dead	đã chết
Rise	Tăng lên
Animal	Thú vật
Factor	Hệ số
Decade	Thập kỷ
Article	Bài báo
Shoot	Bắn
East	Đông
Save	Tiết kiệm
Seven	Bảy
Artist	Họa sĩ
Away	Xa
Scene	Bối cảnh
Stock	Cổ phần
Career	Nghề nghiệp
Despite	Mặc dù
Central	Trung tâm
Eight	Tám
Thus	Do đó
Treatment	điều trị
Beyond	Vượt ra ngoài
Happy	Vui mừng
Exactly	Chính xác
Protect	Bảo vệ
Approach	Tiếp cận
Lie	Nói dối
Size	Kích thước
Dog	Chó
Fund	Quỹ
Serious	Nghiêm trọng
Occur	Xảy ra
Media	Phương tiện truyền thông
Ready	Sẳn sàng
Sign	Ký tên
Thought	Nghĩ
List	Danh sách
Individual	Cá nhân
Simple	đơn giản
Quality	Phẩm chất
Pressure	Sức ép
Accept	Chấp nhận
Answer	Câu trả lời
Hard	Cứng
Resource	Tài nguyên
Identify	Nhận định
Left	Trái
Meeting	Gặp gỡ
Determine	Mục đích
Prepare	Chuẩn bị
Disease	Dịch bệnh
Whatever	Bất cứ điều gì
Success	Sự thành công
Argue	Tranh luận
Cup	Tách
Particularly	đặc biệt
Amount	Số lượng
Ability	Có khả năng
Staff	Cán bộ
Recognize	Nhìn nhận
Indicate	Biểu thị
Character	Tính cách
Growth	Sự phát triển
Loss	Mất mát
Degree	Trình độ
Wonder	Ngạc nhiên
Attack	Tấn công
Herself	Cô ấy
Region	Khu vực
Television	Tivi
Box	Cái hộp
TV	TV
Training	đào tạo
Pretty	đẹp
Trade	Buôn bán
Deal	Thỏa thuận
Election	Cuộc bầu cử
Everybody	Mọi người
Physical	Vật lý
Lay	đặt nằm
General	Chung
Feeling	Cảm giác
Standard	Tiêu chuẩn
Bill	Hóa đơn
Message	Thông điệp
Fail	Thất bại
Outside	ở ngoài
Arrive	đến nơi
Analysis	Phân tích
Benefit	Lợi ích
Name	Tên
Sex	Tình dục
Forward	Phía trước
Lawyer	Luật sư
Present	Hiện tại
Section	Phần
Environmental	Môi trường
Glass	Ly
Answer	Câu trả lời
Skill	Kỹ năng
Sister	Em gái
PM	PM
Professor	Giáo sư
Operation	Hoạt động
Financial	Tài chính
Crime	Tội ác
Stage	Sân khấu
Ok	được
Compare	So sánh
Authority	Thẩm quyền
Miss	Bỏ lỡ
Design	Thiết kế
Sort	Sắp xếp
One	Một
Act	Hành động
Ten	Mười
Knowledge	Hiểu biết
Gun	Súng
Station	Ga tàu
Blue	Màu xanh da trời
State	Tiểu bang
Strategy	Chiến lược
Little	ít
Clearly	Thông suốt
Discuss	Bàn luận
Indeed	Thật
Force	Lực lượng
Truth	Sự thật
Song	Bài hát
Example	Thí dụ
Democratic	Dân chủ
Check	Kiểm tra
Environment	Môi trường
Leg	Chân
Dark	Tối
Public	Công cộng
Various	Nhiều
Rather	Hơn
Laugh	Cười
Guess	Phỏng đoán
Executive	điều hành
Set	Bộ
Study	Học
Prove	Chứng minh
Hang	Treo
Entire	Toàn bộ
Rock	đá
Design	Thiết kế
Enough	đủ
Forget	Quên
Since	Kể từ
Claim	Yêu cầu
Note	Chú thích
Remove	Tẩy
Manager	Giám đốc
Help	Cứu giúp
Close	Gần
Sound	âm thanh
Enjoy	Thưởng thức
Network	Mạng
Legal	Hợp pháp
Religious	Tôn giáo
Cold	Lạnh
Form	Hình thức
Final	Sau cùng
Main	Chủ yếu
Science	Khoa học
Green	Màu xanh lá
Memory	Ký ức
Card	Thẻ
Above	ở trên
Seat	Ghế
Cell	Tế bào
Establish	Thành lập
Nice	Tốt đẹp
Trial	Thử nghiệm
Expert	Chuyên gia
That	Cái đó
Spring	Mùa xuân
Firm	Chắc chắn
Democrat	Dân chủ
Radio	Radio
Visit	Chuyến thăm
Management	Sự quản lý
Care	Quan tâm
Avoid	Tránh
Imagine	Tưởng tượng
Tonight	Tối nay
Huge	Khổng lồ
Ball	Trái bóng
No	Không
Close	Gần
Finish	Hoàn thành
Yourself	Bản thân bạn
Talk	Nói chuyện
Theory	Lý thuyết
Impact	Va chạm
Respond	Trả lời
Statement	Tuyên bố
Maintain	Duy trì
Charge	Sạc điện
Popular	Phổ biến
Traditional	Truyên thông
Onto	Trên
Reveal	Tiết lộ
Direction	Phương hướng
Weapon	Vũ khí
Employee	Nhân viên
Cultural	Văn hoá
Contain	Chứa
Peace	Hòa bình
Head	Cái đầu
Control	điều khiển
Base	Căn cứ
Pain	đau đớn
Apply	ứng dụng
Play	Chơi
Measure	đo
Wide	Rộng
Shake	Lắc
Fly	Bay
Interview	Phỏng vấn
Manage	Quản lý
Chair	Cái ghế
Fish	Cá
Particular	Cụ thể
Camera	Máy ảnh
Structure	Kết cấu
Politics	Chính trị
Perform	Biểu diễn
Bit	Bit
Weight	Cân nặng
Suddenly	đột ngột
Discover	Khám phá
Candidate	ứng viên
Top	Hàng đầu
Production	Sản xuất
Treat	đãi
Trip	Chuyến đi
Evening	Tối
Affect	Có ảnh hưởng đến
Inside	Phía trong
Conference	Hội nghị
Unit	đơn vị
Best	Tốt
Style	Phong cách
Adult	Người lớn
Worry	Lo
Range	Phạm vi
Mention	đề cập đến
Rather	Hơn
Far	Xa
Deep	Sâu
Past	Quá khứ
Edge	Cạnh
Individual	Cá nhân
Specific	Riêng
Writer	Nhà văn
Trouble	Rắc rối
Necessary	Cần thiết
Throughout	Khắp
Challenge	Thử thách
Fear	Nỗi sợ
Shoulder	Vai
Institution	Tổ chức
Middle	ở giữa
Sea	Biển
Dream	Mơ tưởng
Bar	Quán ba
Beautiful	đẹp
Property	Bất động sản
Instead	Thay thế
Improve	Cải tiến
Stuff	đồ đạc
Detail	Chi tiết
Method	Phương pháp
Sign	Ký tên
Somebody	Có ai
Magazine	Tạp chí
Hotel	Khách sạn
Soldier	Lính
Reflect	Phản chiếu
Heavy	Nặng
Sexual	Tình dục
Cause	Nguyên nhân
Bag	Túi
Heat	Nhiệt
Fall	Ngã
Marriage	Kết hôn
Tough	Khó khăn
Sing	Hát
Surface	Bề mặt
Purpose	Mục đích
Exist	Hiện hữu
Pattern	Mẫu
Whom	Ai
Skin	Da
Agent	đặc vụ
Owner	Chủ nhân
Machine	Máy móc
Gas	Khí đốt
Down	Xuống
Ahead	Phía trước
Generation	Thế hệ
Commercial	Thương mại
Address	địa chỉ nhà
Cancer	Ung thư
Test	Thử nghiệm
Item	Mục
Reality	Thực tế
Coach	Huấn luyện viên
Step	Bậc thang
Mrs	Bà
Yard	Sân
Beat	Tiết tấu
Violence	Bạo lực
Total	Toàn bộ
Tend	Có xu hướng
Investment	đầu tư
Discussion	Thảo luận
Finger	Ngón tay
Garden	Vườn
Notice	để ý
Collection	Bộ sưu tập
Modern	Hiện đại
Task	Bài tập
Partner	Cộng sự
Positive	Tích cực
Civil	Dân sự
Kitchen	Phòng bếp
Consumer	Khách hàng
Shot	Bắn
Budget	Ngân sách
Wish	Muốn
Painting	Bức vẽ
Scientist	Nhà khoa học
Safe	An toàn
Agreement	Thỏa thuận
Capital	Thủ đô
Mouth	Miệng
Nor	Cũng không
Victim	Nạn nhân
Newspaper	Báo chí
Instead	Thay thế
Threat	Mối đe dọa
Responsibility	Trách nhiệm
Smile	Nụ cười
Attorney	Luật sư
Score	Ghi bàn
Account	Tài khoản
Interesting	Hấp dẫn
Break	Phá vỡ
Audience	Thính giả
Rich	Giàu có
Dinner	Bữa tối
Figure	Nhân vật
Vote	Bỏ phiếu
Western	Miền Tây
Relate	Liên hệ
Travel	Du lịch
Debate	Tranh luận
Prevent	Ngăn chặn
Citizen	Công dân
Majority	đa số
None	Không ai
Front	Trước mặt
Born	Sinh ra
Admit	Thừa nhận
Senior	Cao cấp
Assume	Giả định
Wind	Gió
Key	Chìa khóa
Professional	Chuyên nghiệp
Mission	Sứ mệnh
Fast	Nhanh
Alone	Một mình
Customer	Khách hàng
Suffer	đau khổ
Speech	Phát biểu
Successful	Thành công
Option	Tùy chọn
Participant	Người tham gia
Southern	Phía Nam
Fresh	Tươi
Eventually	Cuối cùng
No	Không
Forest	Rừng
Video	Video
Global	Toàn cầu
Senate	Thượng nghị viện
Reform	Cải cách
Access	Truy cập
Restaurant	Nhà hàng
Judge	Thẩm phán
Publish	Công bố
Cost	Giá cả
Relation	Quan hệ
Like	Như
Release	Giải phóng
Own	Sở hữu
Bird	Chim
Opinion	Quan điểm
Credit	Tín dụng
Critical	Chỉ trích
Corner	Góc
Concerned	Liên quan
Recall	Hồi tưởng
Version	Phiên bản
Stare	Nhìn chằm chằm
Safety	An toàn
Effective	Có hiệu lực
Neighborhood	Khu vực lân cận
Original	Nguyên
Act	Hành động
Troop (PL)	Quân (PL)
Income	Thu nhập
Directly	Trực tiếp
Hurt	đau
Species	Loài
Immediately	Ngay
Track	Theo dõi
Basic	Căn bản
Strike	đình công
Hope	Mong
Sky	Bầu trời
Freedom	Sự tự do
Absolutely	Chắc chắn rồi
Plane	Máy bay
Nobody	Không ai
Achieve	Hoàn thành
Object	Vật
Attitude	Thái độ
Labor	Lao động
Refer	Tham khảo
Concept	Khái niệm
Client	Khách hàng
Powerful	Quyền lực
Perfect	Hoàn hảo
Nine	Chín
Therefore	Vì thế
Conduct	Hạnh kiểm
Announce	Tuyên bố
Conversation	Cuộc hội thoại
Examine	Xem xét
Touch	Chạm
Please	Xin vui lòng
Attend	Tham gia
Completely	Hoàn toàn
Vote	Bỏ phiếu
Variety	đa dạng
Sleep	Ngủ
Turn	Xoay
Involved	Có tính liên quan
Investigation	Cuộc điều tra
Nuclear	Nguyên tử
Researcher	Nghiên cứu viên
Press	Nhấn
Conflict	Cuộc xung đột
Spirit	Tinh thần
Experience	Kinh nghiệm
Replace	Thay thế
British	Người Anh
Encourage	Khuyến khích
Argument	Tranh luận
By	Bởi
Once	Một lần
Camp	Trại
Brain	óc
Feature	đặc tính
Afternoon	Buổi chiều
AM	LÀ
Weekend	Ngày cuối tuần
Dozen	Tá
Possibility	Khả năng
Along	Dọc theo
Insurance	Bảo hiểm
Department	Bộ phận
Battle	Chiến đấu
Beginning	Bắt đầu
Date	Ngày
Generally	Nói chung là
African	Châu Phi
Very	Rất
Sorry	Lấy làm tiếc
Crisis	Khủng hoảng
Complete	Hoàn thành
Fan	Quạt
Stick	Gậy
Define	định nghĩa
Easily	Dễ dàng
Through	Xuyên qua
Hole	Lỗ
Element	Thành phần
Vision	Tầm nhìn
Status	Trạng thái
Normal	Bình thường
Chinese	Trung Quốc
Ship	Tàu
Solution	Dung dịch
Stone	Cục đá
Slowly	Chậm rãi
Scale	Tỉ lệ
Bit	Bit
University	Trường đại học
Introduce	Giới thiệu
Driver	Người lái xe
Attempt	Cố gắng
Park	Công viên
Spot	Nơi
Lack	Thiếu sót
Ice	Nước đá
Boat	Thuyền
Drink	Uống
Sun	Mặt trời
Front	Trước mặt
Distance	Khoảng cách
Wood	Gỗ
Handle	Xử lý
Truck	Xe tải
Return	Trở về
Mountain	Núi
Survey	Khảo sát
Supposed	Giả định
Tradition	Truyền thống
Winter	Mùa đông
Village	Làng
Soviet	Liên Xô
Refuse	Từ chối
Sales	Bán hàng
Roll	Cuộn
Communication	Giao tiếp
Run	Chạy
Screen	Màn
Gain	Thu được
Resident	Cư dân
Hide	ẩn giấu
Gold	Vàng
Club	Câu lạc bộ
Future	Tương lai
Farm	Nông trại
Potential	Tiềm năng
Increase	Tăng
Middle	ở giữa
European	Châu Âu
Presence	Sự hiện diện
Independent	độc lập
District	Huyện
Shape	Hình dạng
Reader	Người đọc
Ms	Cô
Contract	Hợp đồng
Crowd	đám đông
Christian	Christian
Express	Bày tỏ
Apartment	Căn hộ, chung cư
Willing	Sẵn lòng
Strength	Sức mạnh
Previous	Trước
Band	Ban nhạc
Obviously	Chắc chắn
Horse	Con ngựa
Interested	Quan tâm
Target	Mục tiêu
Prison	Nhà tù
Ride	Dap xe
Guard	Bảo vệ
Terms	điều kiện
Demand	Nhu cầu
Reporter	Phóng viên
Deliver	Giao hàng
Text	Bản văn
Share	Chia sẻ
Tool	Dụng cụ
Wild	Hoang dã
Vehicle	Phương tiện
Observe	Quan sát
Flight	Chuyến bay
Inside	Phía trong
Facility	Cơ sở
Understanding	Hiểu biết
Average	Trung bình cộng
Emerge	Hiện ra
Advantage	Lợi thế
Quick	Nhanh chóng
Light	ánh sáng
Leadership	Khả năng lãnh đạo
Earn	Kiếm
Pound	Pao
Basis	Nền tảng
Bright	Sáng
Operate	Vận hành
Guest	Khách
Sample	Mẫu vật
Contribute	Góp phần
Tiny	Nhỏ bé
Block	Khối
Protection	Sự bảo vệ
Settle	ổn định
Feed	Nuôi
Collect	Sưu tầm
Additional	Bổ sung
While	Trong khi
Highly	Cao
Identity	Danh tính
Title	Chức vụ
Mostly	Chủ yếu
Lesson	Bài học
Faith	đức tin
River	Con sông
Promote	Quảng bá
Living	Sống
Present	Hiện tại
Count	đếm
Unless	Trừ khi
Marry	Kết hôn
Tomorrow	Ngày mai
Technique	Kỹ thuật
Path	Con đường
Ear	Tai
Shop	Cửa tiệm
Folk	Dân gian
Order	Gọi món
Principle	Nguyên tắc
Survive	Tồn tại
Lift	Thang máy
Border	Biên giới
Competition	Cuộc thi
Jump	Nhảy
Gather	Tụ họp
Limit	Giới hạn
Fit	Phù hợp
Claim	Yêu cầu
Cry	Khóc
Equipment	Trang thiết bị
Worth	Giá trị
Associate	Liên kết
Critic	Nhà phê bình
Warm	ấm áp
Aspect	Khía cạnh
Result	Kết quả
Insist	Năn nỉ
Failure	Thất bại
Annual	Hàng năm
French	Người Pháp
Christmas	Giáng Sinh
Comment	Bình luận
Responsible	Chịu trách nhiệm
Affair	Chuyện
Approach	Tiếp cận
Until	Cho đến
Procedure	Thủ tục
Regular	đều đặn
Spread	Lan tràn
Chairman	Chủ tịch
Baseball	Bóng chày
Soft	Mềm mại
Ignore	Bỏ qua
Egg	Trứng
Measure	đo
Belief	Niềm tin
Demonstrate	Chứng minh
Anybody	Bất kỳ ai
Murder	Giết người
Gift	Quà tặng
Religion	Tôn giáo
Review	ôn tập
Editor	Người biên tập
Past	Quá khứ
Engage	Thuê
Coffee	Cà phê
Document	Tài liệu
Speed	Tốc độ
Cross	Vượt qua
Influence	ảnh hưởng
Anyway	Dù sao
Threaten	Hăm dọa
Commit	Cam kết
Female	Giống cái
Youth	Thiếu niên
